No,Code,Company Name,Listing Date,Shares,Listing Board
258,IPOL,Indopoly Swakarsa Industry Tbk.,09 Jul 2010,"6,443,379,509",Main
259,ISAT,Indosat Tbk.,19 Oct 1994,"8,062,702,740",Main
260,ISSP,Steel Pipe Industry of Indonesia Tbk.,22 Feb 2013,"7,185,992,035",Main
261,ITMA,Sumber Energi Andalan Tbk.,10 Dec 1990,"999,053,167",Development
262,ITMG,Indo Tambangraya Megah Tbk.,18 Dec 2007,"1,129,925,000",Main
263,JAWA,Jaya Agra Wattie Tbk.,30 May 2011,"3,774,685,500",Main
264,JECC,Jembo Cable Company Tbk.,18 Nov 1992,"151,200,000",Watchlist
265,JIHD,Jakarta International Hotels & Development Tbk.,29 Feb 1984,"2,329,040,482",Development
266,JKON,Jaya Konstruksi Manggala Pratama Tbk.,04 Dec 2007,"16,308,519,860",Main
267,JKSW,Jakarta Kyoei Steel Works Tbk.,06 Agt 1997,"150,000,000",Watchlist
268,KBLV,First Media Tbk.,25 Feb 2000,"1,742,167,907",Watchlist
269,KBRI,Kertas Basuki Rachmat Indonesia Tbk.,11 Jul 2008,"8,687,995,734",Watchlist
270,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,"405,000,000",Development
271,KIAS,Keramika Indonesia Assosiasi Tbk.,08 Dec 1994,"14,929,100,000",Watchlist
272,KICI,Kedaung Indah Can Tbk.,28 Oct 1993,"276,000,000",Main
273,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,"20,824,888,369",Main
274,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,"5,000,000,000",Main
275,KLBF,Kalbe Farma Tbk.,30 Jul 1991,"46,875,122,110",Main
276,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,"2,272,500,000",Main
277,KOIN,Kokoh Inti Arebama Tbk.,09 Apr 2008,"980,843,732",Watchlist
278,KONI,Perdana Bangun Pusaka Tbk.,22 Agt 1995,"312,000,000",Development
279,KOPI,Mitra Energi Persada Tbk.,04 May 2015,"697,266,668",Development
280,KPIG,MNC Land Tbk.,30 Mar 2000,"88,688,299,330",Development
281,KRAH,Grand Kartech Tbk.,08 Nov 2013,"971,190,000",Watchlist
282,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,"19,346,396,900",Main
283,KREN,Quantum Clovera Investama Tbk.,28 Jun 2002,"18,208,470,100",Watchlist
284,LAPD,Leyand International Tbk.,17 Jul 2001,"3,966,350,139",Watchlist
285,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,"5,630,000,914",Watchlist
286,LEAD,Logindo Samudramakmur Tbk.,11 Dec 2013,"4,049,616,328",Main
287,LINK,Link Net Tbk.,02 Jun 2014,"2,863,195,484",Main
288,LION,Lion Metal Works Tbk.,20 Agt 1993,"520,160,000",Main
289,LMAS,Limas Indonesia Makmur Tbk.,28 Dec 2001,"787,851,525",Watchlist
290,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,"2,588,250,000",Development
291,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,"350,000,022",Development
292,LSIP,PP London Sumatra Indonesia Tbk.,05 Jul 1996,"6,822,863,965",Main
293,LTLS,Lautan Luas Tbk.,21 Jul 1997,"1,560,000,000",Main
294,MAGP,Multi Agro Gemilang Plantation Tbk.,16 Jan 2013,"9,000,000,004",Watchlist
295,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,"2,238,750,000",Main
296,MAMI,Mas Murni Indonesia Tbk.,09 Feb 1994,"12,299,317,590",Watchlist
297,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,"16,600,000,000",Main
298,MASA,Multistrada Arah Sarana Tbk.,09 Jun 2005,"9,182,946,945",Main
299,MAYA,Bank Mayapada Internasional Tbk.,29 Agt 1997,"11,714,045,161",Main
300,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,"1,227,271,952",Development
301,MBSS,Mitrabahtera Segara Sejati Tbk.,06 Apr 2011,"1,750,026,639",Main
302,MBTO,Martina Berto Tbk.,13 Jan 2011,"1,070,000,000",Main
303,MCOR,Bank China Construction Bank Indonesia Tbk.,03 Jul 2007,"37,540,533,209",Main
304,MDIA,Intermedia Capital Tbk.,11 Apr 2014,"39,215,538,400",Watchlist
305,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,"24,110,850,771",Main
306,MDLN,Modernland Realty Tbk.,18 Jan 1993,"12,533,067,322",Main
307,MDRN,Modern Internasional Tbk.,16 Jul 1991,"7,632,167,798",Watchlist
308,MEDC,Medco Energi Internasional Tbk.,12 Oct 1994,"25,136,231,252",Main
309,MEGA,Bank Mega Tbk.,17 Apr 2000,"11,623,514,905",Main
310,MERK,Merck Tbk.,23 Jul 1981,"448,000,000",Development
311,META,Nusantara Infrastructure Tbk.,18 Jul 2001,"17,710,708,194",Main
